,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,PETR3,2276,-873.0,122.0,1076.0,"1,92%",292,514.0,347,-52.0,804,457,"30,96%","-12,74%",140,"9,66%","-14,00%",340.388.00000,242.766.000.00000,206,"-0,08%"
1,PETR4,2222,-853.0,119.0,1050.0,"2,79%",286,502.0,339,-51.0,796,452,"30,96%","-12,74%",140,"9,66%","-14,00%",1.323.950.00000,242.766.000.00000,206,"-0,08%"
2,RPMG3,303,-139.0,-7.0,392.0,"0,00%",77,-8.0,-372,-7.0,-372,-372,"-10,54%","-28,11%",49,"-2,10%","5,12%",357.13200,-2.875.230.00000,0,"-2,56%"
3,DMMO3,127,-49.0,-32.0,956.0,"0,00%",284,-69.0,-338,-17.0,-897,-2291,"-28,31%","-194,13%",29,"-12,01%","65,95%",6.088.18000,-1.055.770.00000,-61,"3,36%"
4,OSXB3,440,-3.0,0.0,1289.0,"0,00%",7,-3.0,-132,0.0,-42284,-42667,"-97,47%","-4.907,86%",3,"-0,59%","10,83%",57.10230,-4.737.600.00000,-93,"-48,68%"
5,ENAT3,1217,928.0,111.0,2578.0,"9,39%",702,233.0,1017,1402.0,588,215,"25,35%","27,79%",355,"11,03%","11,98%",20.092.70000,2.910.700.00000,8,"28,98%"
6,PRIO3,4383,1345.0,246.0,4249.0,"0,00%",952,15838.0,3607,-237.0,5020,903,"11,78%","31,58%",103,"2,85%","18,27%",135.153.00000,2.580.170.00000,110,"51,08%"
7,BRDT3,2173,1365.0,258.0,299.0,"4,44%",915,322.0,2333,-647.0,2694,1794,"1,28%","2,19%",229,"5,15%","18,89%",148.971.00000,9.813.000.00000,94,"-3,67%"
8,MMXM3,175,-6.0,-1.0,22307.0,"0,00%",91,-1.0,-11,-1.0,-247,-247,"-20.051,70%","-35.805,30%",3,"-139,55%","22,70%",40.96020,-800.741.00000,-30,"9,46%"
9,AURA32,6500,0.0,0.0,0.0,"0,00%",0,0.0,0,0.0,0,0,"0,00%","0,00%",120,"0,00%","0,00%",6.599.85000,992.383.00000,39,"0,00%"
10,VALE3,6175,5093.0,175.0,2128.0,"2,29%",717,651.0,515,-199.0,570,456,"41,35%","2,47%",182,"17,01%","3,43%",1.763.570.00000,186.959.000.00000,54,"14,97%"
11,CSNA3,1461,-2103.0,488.0,842.0,"2,11%",369,569.0,478,-61.0,1199,853,"17,63%","-2,50%",129,"9,52%","-23,21%",163.346.00000,4.153.210.00000,891,"12,78%"
12,USIM3,1020,-1407.0,94.0,916.0,"0,39%",476,199.0,1627,-582.0,2100,919,"5,63%","-4,94%",314,"3,38%","-6,69%",1.873.66000,13.572.200.00000,46,"14,39%"
13,USIM5,974,-1344.0,90.0,875.0,"0,45%",455,190.0,1554,-556.0,2027,887,"5,63%","-4,94%",314,"3,38%","-6,69%",169.652.00000,13.572.200.00000,46,"14,39%"
14,USIM6,936,-1291.0,86.0,840.0,"0,46%",437,182.0,1493,-534.0,1966,861,"5,63%","-4,94%",314,"3,38%","-6,69%",34951,13.572.200.00000,46,"14,39%"
15,PMAM3,1143,-53.0,-249.0,111.0,"0,00%",129,-23.0,-233,-20.0,-1512,-4833,"-4,75%","-20,84%",42,"-6,67%","468,79%",2.186.02000,-199.495.00000,-1498,"0,44%"
16,MGEL4,562,-36.0,-7.0,56.0,"0,00%",83,29.0,53,-5.0,1186,912,"10,72%","-16,58%",223,"21,17%","19,81%",71.28070,-461.467.00000,-165,"7,34%"
17,PATI3,2225,386.0,77.0,392.0,"0,81%",345,72.0,814,151.0,853,715,"4,82%","10,17%",260,"8,40%","20,05%",105.23400,525.461.00000,75,"15,07%"
18,PATI4,2900,503.0,101.0,511.0,"4,83%",450,93.0,1061,197.0,1100,922,"4,82%","10,17%",260,"8,40%","20,05%",36.32310,525.461.00000,75,"15,07%"
19,FESA4,1788,961.0,92.0,1147.0,"4,36%",538,439.0,1023,-490.0,1233,554,"11,21%","11,96%",168,"5,96%","9,58%",4.058.32000,1.715.960.00000,35,"7,91%"
20,TKNO4,3908,1015.0,63.0,744.0,"0,92%",528,133.0,1230,150.0,939,567,"6,04%","7,32%",437,"5,34%","6,22%",64298,182.419.00000,2,"10,39%"
21,FESA3,2605,1400.0,134.0,1671.0,"2,72%",784,639.0,1491,-714.0,1701,764,"11,21%","11,96%",168,"5,96%","9,58%",4.64002,1.715.960.00000,35,"7,91%"
22,GOAU3,786,2581.0,77.0,228.0,"0,51%",136,73.0,465,-81.0,1249,567,"4,91%","2,46%",215,"3,52%","2,97%",822.66400,11.138.400.00000,188,"-0,35%"
23,GOAU4,889,2919.0,87.0,258.0,"0,45%",154,83.0,526,-92.0,1310,595,"4,91%","2,46%",215,"3,52%","2,97%",122.758.00000,11.138.400.00000,188,"-0,35%"
24,GGBR3,1630,3056.0,93.0,749.0,"0,43%",448,242.0,1517,-265.0,2299,1046,"4,93%","2,48%",214,"3,54%","3,05%",2.068.34000,30.051.600.00000,70,"-0,35%"
25,GGBR4,1954,3664.0,112.0,898.0,"0,36%",537,290.0,1819,-318.0,2600,1184,"4,93%","2,48%",214,"3,54%","3,05%",270.107.00000,30.051.600.00000,70,"-0,35%"
26,BRKM3,2328,-179.0,-549.0,373.0,"3,60%",219,188.0,1136,-32.0,2966,885,"3,28%","-21,80%",146,"2,80%","306,76%",409.66200,-3.380.230.00000,-1409,"1,92%"
27,BRKM5,2271,-175.0,-536.0,363.0,"3,69%",214,183.0,1108,-31.0,2938,876,"3,28%","-21,80%",146,"2,80%","306,76%",62.269.30000,-3.380.230.00000,-1409,"1,92%"
28,BRKM6,1800,-138.0,-425.0,288.0,"3,37%",170,145.0,878,-25.0,2708,808,"3,28%","-21,80%",146,"2,80%","306,76%",30484,-3.380.230.00000,-1409,"1,92%"
29,FHER3,292,29.0,-91.0,110.0,"0,00%",101,85.0,-194,-16.0,-341,-536,"-5,65%","37,67%",135,"-6,47%","-310,92%",420.29100,-173.608.00000,-82,"-29,67%"
30,NUTR3,16001,56.0,150.0,298.0,"0,00%",342,167.0,-3471,-128.0,-4852,-31459,"-0,86%","53,40%",168,"-1,19%","268,91%",154.14400,13.630.00000,64,"21,68%"
31,CRPG5,2085,598.0,100.0,1177.0,"0,67%",718,107.0,982,141.0,796,573,"11,98%","19,69%",648,"8,85%","16,73%",148.22600,605.213.00000,1,"16,64%"
32,CRPG6,2155,618.0,103.0,1216.0,"0,65%",742,111.0,1015,146.0,829,596,"11,98%","19,69%",648,"8,85%","16,73%",15.35370,605.213.00000,1,"16,64%"
33,CRPG3,2410,691.0,116.0,1360.0,"0,00%",830,124.0,1135,163.0,949,683,"11,98%","19,69%",648,"8,85%","16,73%",3.81512,605.213.00000,1,"16,64%"
34,GPCP3,5750,1279.0,190.0,425.0,"0,53%",417,702.0,686,-108.0,1004,724,"6,19%","3,50%",119,"6,72%","14,88%",1.430.36000,189.388.00000,109,"21,64%"
35,ELEK3,1911,2446.0,266.0,619.0,"2,25%",1067,375.0,5211,-11034.0,6577,2615,"1,19%","2,53%",194,"2,52%","10,87%",27093,226.327.00000,99,"5,69%"
36,ELEK4,2600,3327.0,362.0,842.0,"1,65%",1452,510.0,7089,-15012.0,8456,3361,"1,19%","2,53%",194,"2,52%","10,87%",6047,226.327.00000,99,"5,69%"
37,UNIP5,2951,8212.0,201.0,920.0,"2,48%",687,670.0,910,-239.0,911,558,"10,11%","1,32%",138,"10,01%","2,45%",18.20230,1.401.020.00000,54,"34,53%"
38,UNIP6,2990,8320.0,204.0,932.0,"1,48%",696,679.0,922,-242.0,923,566,"10,11%","1,32%",138,"10,01%","2,45%",5.674.02000,1.401.020.00000,54,"34,53%"
39,UNIP3,3555,9892.0,243.0,1109.0,"1,13%",827,807.0,1096,-287.0,1098,672,"10,11%","1,32%",138,"10,01%","2,45%",746.16700,1.401.020.00000,54,"34,53%"
40,RANI4,739,-6982.0,513.0,2108.0,"0,40%",1209,1671.0,1255,-273.0,1704,961,"16,79%","-3,02%",129,"10,94%","-7,35%",127.42500,369.771.00000,213,"4,98%"
41,RANI3,469,-4431.0,326.0,1338.0,"0,63%",767,1060.0,797,-173.0,1246,702,"16,79%","-3,02%",129,"10,94%","-7,35%",9.312.91000,369.771.00000,213,"4,98%"
42,KLBN3,555,-1099.0,1104.0,2867.0,"1,72%",827,258.0,1341,-159.0,2247,1082,"21,38%","-25,02%",565,"8,81%","-100,49%",1.704.05000,2.788.350.00000,1100,"15,22%"
43,KLBN11,2618,-1037.0,1042.0,2705.0,"1,83%",780,243.0,1265,-150.0,2171,1045,"21,38%","-25,02%",565,"8,81%","-100,49%",137.529.00000,2.788.350.00000,1100,"15,22%"
44,KLBN4,516,-1022.0,1027.0,2666.0,"1,85%",769,240.0,1247,-148.0,2153,1036,"21,38%","-25,02%",565,"8,81%","-100,49%",7.463.83000,2.788.350.00000,1100,"15,22%"
45,MSPA3,4950,-745.0,36.0,2628.0,"0,00%",222,459.0,-898,-71.0,-968,-1697,"-29,27%","-35,29%",274,"-2,56%","-4,90%",11512,869.463.00000,7,"-25,65%"
46,MSPA4,4880,-734.0,36.0,2591.0,"0,00%",219,453.0,-885,-70.0,-955,-1674,"-29,27%","-35,29%",274,"-2,56%","-4,90%",92461,869.463.00000,7,"-25,65%"
47,SUZB3,5176,-396.0,2828.0,2461.0,"0,00%",649,884.0,1427,-84.0,2808,1280,"17,24%","-62,03%",157,"5,26%","-713,28%",308.555.00000,2.491.440.00000,3236,"30,46%"
48,EUCA4,640,713.0,42.0,385.0,"0,00%",236,-14232.0,360,-154.0,643,643,"10,69%","4,67%",99,"7,01%","5,96%",494.45500,1.395.980.00000,35,"7,58%"
49,EUCA3,2380,2651.0,158.0,1433.0,"0,00%",878,-52925.0,1340,-572.0,1622,1622,"10,69%","4,67%",99,"7,01%","5,96%",196.08600,1.395.980.00000,35,"7,58%"
50,DTEX3,1630,3309.0,239.0,2254.0,"2,29%",1028,650.0,3376,-493.0,4028,1327,"6,68%","6,81%",178,"3,82%","7,22%",49.811.70000,4.721.980.00000,80,"7,77%"
51,MTIG4,4311,94.0,34.0,75.0,"0,00%",82,-26.0,-233,-18.0,-1657,51786,"-3,24%","8,03%",48,"-4,05%","35,81%",11.2866,30.881.60000,207,"0,97%"
52,RCSL4,146,-3467.0,-162.0,5705.0,"0,00%",2916,-922.0,37024,-120.0,36839,14104,"1,54%","-16,50%",54,"0,82%","4,67%",9.970.42000,-68.396.00000,0,"185,53%"
53,TUPY3,1706,-1626.0,104.0,584.0,"0,00%",407,144.0,1040,-457.0,1555,637,"5,61%","-3,59%",220,"5,35%","-6,38%",16.554.70000,2.370.790.00000,105,"9,01%"
54,MYPK3,1196,-1026.0,49.0,222.0,"5,55%",155,239.0,3403,-53.0,10132,1044,"0,65%","-1,34%",121,"0,56%","-4,76%",30.313.20000,3.762.400.00000,134,"7,07%"
55,MWET3,6414,-339.0,-61.0,758.0,"0,00%",755,-104.0,-1125,-38.0,-1743,-2820,"-6,74%","-22,36%",25,"-8,21%","18,07%",95.71760,-215.261.00000,-35,"8,36%"
56,EMBR3,731,-131.0,34.0,482.0,"0,00%",96,31.0,3097,-78.0,8738,970,"1,56%","-36,61%",207,"0,42%","-26,25%",99.616.00000,15.779.800.00000,132,"-15,73%"
57,MWET4,691,-37.0,-7.0,82.0,"0,00%",81,-11.0,-121,-4.0,-740,-1197,"-6,74%","-22,36%",25,"-8,21%","18,07%",849.48300,-215.261.00000,-35,"8,36%"
58,PLAS3,470,184.0,-43.0,161.0,"0,00%",101,-47.0,-105,-10.0,-368,1298,"-15,35%","8,75%",45,"-10,50%","-23,29%",25.70630,-136.260.00000,-123,"-1,44%"
59,RSUL4,14593,476.0,1452.0,525.0,"0,00%",434,-165.0,371,-66.0,381,309,"14,15%","11,04%",54,"12,16%","305,14%",2.78742,5.859.00000,72,"12,14%"
60,RAPT3,900,1641.0,178.0,654.0,"2,90%",451,122.0,767,-766.0,1050,739,"8,53%","4,77%",252,"9,38%","10,87%",99.92180,1.744.560.00000,191,"16,18%"
61,LEVE3,1726,1885.0,170.0,1018.0,"3,70%",858,410.0,841,2137.0,911,658,"12,10%","5,27%",163,"13,28%","9,03%",9.035.56000,1.300.220.00000,49,"-0,12%"
62,RAPT4,1121,2044.0,222.0,815.0,"2,33%",561,152.0,955,-954.0,1238,872,"8,53%","4,77%",252,"9,38%","10,87%",34.452.00000,1.744.560.00000,191,"16,18%"
63,POMO3,267,2287.0,102.0,633.0,"3,86%",435,185.0,1184,-997.0,1795,1248,"5,35%","2,66%",182,"4,61%","4,48%",838.29100,2.469.380.00000,86,"14,81%"
64,POMO4,279,2390.0,107.0,662.0,"3,69%",455,194.0,1237,-1042.0,1848,1285,"5,35%","2,66%",182,"4,61%","4,48%",28.800.60000,2.469.380.00000,86,"14,81%"
65,FRAS3,511,4006.0,133.0,839.0,"1,41%",561,175.0,1107,-951.0,1337,746,"7,58%","1,45%",266,"6,87%","3,32%",475.59900,835.771.00000,79,"13,63%"
66,FRIO3,8998,-322.0,-1186.0,264.0,"0,00%",207,-20161.0,656,-80.0,2218,1155,"4,02%","-7,60%",100,"5,26%","367,84%",25.3565,-31.172.00000,-4041,"9,39%"
67,NORD3,540,-11.9178,-26.0,23097.0,"0,00%",2100,-74.0,-5130,-23.0,-10453,-10453,"-45,03%","-0,19%",2,"-4,19%","0,00%",22.51900,-139.342.00000,-27,"116,60%"
68,TASA4,640,-463.0,-154.0,458.0,"0,00%",461,485.0,346,-73.0,836,747,"13,24%","-9,89%",117,"16,05%","33,25%",9.156.14000,-367.967.00000,-247,"8,30%"
69,TASA3,570,-412.0,-137.0,408.0,"0,00%",411,432.0,308,-65.0,798,713,"13,24%","-9,89%",117,"16,05%","33,25%",710.56200,-367.967.00000,-247,"8,30%"
70,LUPA3,237,-85.0,81.0,4637.0,"0,00%",121,47.0,-186,-26.0,-680,-952,"-249,89%","-533,34%",291,"-6,69%","-95,13%",1.517.35000,75.601.00000,219,"-42,97%"
71,BDLL3,2400,-20.0,-34.0,933.0,"0,00%",52,-19.0,-97,-7.0,-691,-836,"-95,99%","-472,75%",60,"-6,50%","173,42%",1.28349,-112.189.00000,-211,"-43,54%"
72,INEP3,619,-11.0,-3.0,3864.0,"0,00%",36,-3.0,-16,-2.0,-217,-225,"-2.486,73%","-3.432,24%",12,"-25,30%","23,02%",24.66830,-2.016.000.00000,-33,"-52,36%"
73,INEP4,563,-10.0,-2.0,3514.0,"0,00%",33,-2.0,-14,-1.0,-215,-224,"-2.486,73%","-3.432,24%",12,"-25,30%","23,02%",55.71820,-2.016.000.00000,-33,"-52,36%"
74,BDLL4,800,-7.0,-11.0,311.0,"0,00%",17,-6.0,-32,-2.0,-626,-757,"-95,99%","-472,75%",60,"-6,50%","173,42%",61.05090,-112.189.00000,-211,"-43,54%"
75,MTSA4,2395,550.0,81.0,715.0,"3,34%",573,113.0,971,121.0,812,572,"7,36%","12,99%",296,"7,74%","14,66%",191.96500,271.320.00000,16,"9,93%"
76,ROMI3,1240,788.0,96.0,929.0,"10,08%",507,201.0,1290,506.0,1771,1129,"7,20%","11,82%",179,"4,54%","12,22%",3.485.78000,809.051.00000,53,"7,29%"
77,EALT4,535,808.0,71.0,460.0,"1,12%",294,-6816.0,497,-184.0,798,553,"9,27%","5,70%",99,"6,78%","8,83%",230.80700,168.715.00000,65,"23,04%"
78,SHUL4,1188,1313.0,162.0,1116.0,"1,77%",675,186.0,1422,1254.0,1672,1067,"7,84%","8,50%",233,"7,33%","12,32%",2.687.63000,656.151.00000,103,"18,94%"
79,BALM4,1178,1659.0,109.0,784.0,"2,21%",566,193.0,1275,339.0,1471,1109,"6,15%","3,33%",191,"5,04%","6,60%",171.68000,105.487.00000,32,"7,14%"
80,KEPL3,4413,1905.0,236.0,2110.0,"0,89%",1594,840.0,2229,1116.0,2090,1337,"9,46%","11,08%",168,"9,29%","12,41%",5.238.68000,491.331.00000,12,"-0,92%"
81,EALT3,1310,1978.0,175.0,1127.0,"0,42%",720,-16690.0,1216,-450.0,1517,1052,"9,27%","5,70%",99,"6,78%","8,83%",30.65700,168.715.00000,65,"23,04%"
82,BALM3,1672,2354.0,155.0,1112.0,"1,56%",803,273.0,1809,481.0,2006,1512,"6,15%","3,33%",191,"5,04%","6,60%",36.62950,105.487.00000,32,"7,14%"
83,WEGE3,6643,7443.0,1345.0,9352.0,"0,67%",7742,2271.0,5502,4043.0,5474,4702,"17,00%","12,81%",231,"17,81%","18,08%",350.041.00000,10.362.300.00000,21,"11,89%"
84,PRNR3,995,-2152.0,173.0,1294.0,"0,00%",1095,213.0,-4638,317.0,-3775,2514,"-2,79%","-7,93%",356,"-4,30%","-8,03%",3.735.60000,219.095.00000,36,"0,34%"
85,DTCY3,730,-784.0,941.0,3484.0,"0,00%",1860,-878.0,-2108,-354.0,-2087,10443,"-16,52%","-44,45%",57,"-10,59%","-120,08%",38.18380,6.041.00000,39,"4,27%"
86,VLID3,1058,-675.0,65.0,377.0,"6,62%",249,183.0,568,-166.0,1181,575,"6,65%","-5,73%",142,"5,80%","-9,70%",10.509.30000,1.151.140.00000,119,"3,68%"
87,ALPK3,969,0.0,245.0,0.0,"0,00%",598,-327.0,0,-98.0,0,0,"0,00%","0,00%",44,"0,00%","0,00%",448.63400,766.581.00000,215,"0,00%"
88,CARD3,1676,1833.0,256.0,1564.0,"1,62%",1317,3774.0,1250,-834.0,1334,653,"12,51%","8,53%",112,"13,93%","13,99%",4.110.69000,273.147.00000,45,"-2,23%"
89,WLMM3,1700,1146.0,141.0,596.0,"1,88%",1071,369.0,1131,531.0,968,908,"5,27%","5,20%",292,"12,28%","12,29%",70.77,439.677.00000,7,"26,60%"
90,WLMM4,1874,1263.0,155.0,657.0,"1,88%",1180,407.0,1247,585.0,1084,1017,"5,27%","5,20%",292,"12,28%","12,29%",70.3914,439.677.00000,7,"26,60%"
91,GFSA3,526,-28028.0,88.0,2851.0,"0,00%",365,116.0,2649,250.0,2916,2332,"10,76%","-1,15%",176,"1,83%","-0,31%",49.727.90000,1.175.850.00000,57,"-24,38%"
92,RDNI3,1059,-10805.0,77.0,1348.0,"0,09%",297,169.0,2231,-141.0,4011,3265,"6,04%","-0,92%",179,"1,44%","-0,71%",528.51300,603.221.00000,76,"-9,11%"
93,TCNO3,215,-4925.0,5391.0,0.0,"0,00%",61,0.0,-234,0.0,-784,-907,"0,00%","0,00%",0,"0,00%","-109,47%",98.21190,264.00000,0,"-71,86%"
94,LPSB3,500,-4637.0,459.0,5071.0,"0,00%",1978,648.0,3353,-1717.0,2741,1429,"15,12%","-3,75%",292,"9,71%","-9,90%",9.272.59000,160.774.00000,3,"-3,22%"
95,TCNO4,152,-3482.0,3812.0,0.0,"0,00%",43,0.0,-165,0.0,-716,-827,"0,00%","0,00%",0,"0,00%","-109,47%",148.89500,264.00000,0,"-71,86%"
96,MILS3,679,-3467.0,156.0,2886.0,"0,00%",1171,594.0,-4978,1908.0,-4838,1210,"-5,80%","-8,32%",270,"-3,01%","-4,51%",18.175.50000,1.093.250.00000,22,"0,59%"
97,HBOR3,1279,-2727.0,139.0,1474.0,"0,00%",385,78.0,-4761,519.0,-7337,-9240,"-3,10%","-5,52%",324,"-0,95%","-5,09%",59.289.40000,1.233.690.00000,124,"3,20%"
98,CRDE3,2198,-1537.0,44.0,8426.0,"65,75%",382,273.0,-1129,431.0,-611,-612,"-74,63%","-62,20%",282,"-4,19%","-2,85%",67.15250,121.435.00000,0,"-17,08%"
99,MDNE3,918,-453.0,79.0,2931.0,"0,00%",368,132.0,4589,-1272.0,5302,4441,"6,39%","-67,59%",221,"0,86%","-17,39%",6.763.40000,988.742.00000,23,"-23,90%"
100,TCSA3,1279,-447.0,112.0,3314.0,"0,00%",581,379.0,-1011,-448.0,-1121,-1224,"-32,78%","-75,95%",178,"-6,74%","-25,00%",25.969.10000,841.805.00000,40,"-21,03%"
101,JFEN3,433,-112.0,136.0,4612.0,"0,00%",260,94.0,-309,-565.0,-718,-725,"-149,16%","-433,10%",152,"-8,78%","-120,90%",96.67370,336.159.00000,184,"-41,76%"
102,VIVR3,142,-82.0,-88.0,-2043.0,"0,00%",279,-54.0,-226,-30.0,-547,-572,"90,25%","247,55%",44,"-13,05%","106,27%",2.028.06000,-154.240.00000,-132,"-49,71%"
103,RSID3,590,-46.0,-16.0,2090.0,"0,00%",53,-9.0,-123,-5.0,-1741,-1886,"-170,06%","-469,29%",40,"-4,88%","34,00%",1.338.42000,-651.709.00000,-211,"-53,33%"
104,BBRK3,184,-44.0,40.0,567.0,"0,00%",215,231.0,-233,-166.0,-64,-111,"-24,33%","-114,77%",148,"-11,07%","-90,91%",1.534.22000,166.355.00000,0,"2,22%"
105,PDGR3,402,-4.0,-1.0,159.0,"0,00%",18,-1.0,-39,-1.0,-1982,-2051,"-40,69%","-382,81%",36,"-5,28%","14,79%",413.78900,-5.225.500.00000,-33,"-29,15%"
106,AZEV4,390,28.0,-8.0,-454.0,"0,00%",372,-11.0,74,-8.0,193,193,"-61,54%","-165,00%",14,"108,12%","-30,71%",141.02500,-248.956.00000,-14,"-49,44%"
107,AZEV3,1163,82.0,-25.0,-1355.0,"0,00%",1110,-34.0,220,-23.0,339,339,"-61,54%","-165,00%",14,"108,12%","-30,71%",91.48010,-248.956.00000,-14,"-49,44%"
108,HAGA4,187,613.0,-29.0,1026.0,"0,00%",396,105.0,-1951,-25.0,-2083,4429,"-5,26%","16,74%",186,"-6,33%","-4,69%",660.85700,-77.360.40000,-50,"-5,45%"
109,ETER3,487,627.0,606.0,503.0,"0,00%",427,748.0,-792,-89.0,-987,-2615,"-6,35%","8,00%",115,"-6,48%","96,65%",5.492.93000,41.532.00000,233,"-14,16%"
110,JHSF3,736,869.0,156.0,6376.0,"1,87%",793,804.0,1576,-250.0,1805,1666,"40,46%","73,10%",244,"5,52%","17,89%",131.406.00000,3.243.960.00000,40,"13,73%"
111,PTBL3,450,903.0,173.0,640.0,"0,88%",363,414.0,-24526,-101.0,-40608,2237,"-0,26%","7,10%",125,"-0,19%","19,20%",7.153.52000,411.329.00000,182,"3,79%"
112,HAGA3,304,996.0,-47.0,1667.0,"0,00%",643,170.0,-3172,-41.0,-3304,7025,"-5,26%","16,74%",186,"-6,33%","-4,69%",55.48370,-77.360.40000,-50,"-5,45%"
113,SOND6,3600,1430.0,160.0,1352.0,"2,53%",1126,269.0,1442,385.0,966,754,"9,38%","9,46%",349,"12,69%","11,17%",1.49730,55.393.00000,0,"-12,02%"
114,TRIS3,1223,1492.0,207.0,2836.0,"3,51%",1164,244.0,1415,404.0,1432,1421,"20,05%","20,46%",315,"10,46%","13,84%",26.413.60000,1.104.980.00000,36,"25,94%"
115,TEND3,3117,1637.0,231.0,1631.0,"1,10%",786,160.0,1023,912.0,964,870,"15,95%","9,96%",294,"12,47%","14,12%",36.329.90000,1.407.140.00000,96,"21,59%"
116,MRVE3,1854,1703.0,163.0,1452.0,"3,68%",522,175.0,1138,-315.0,1534,1371,"12,76%","9,81%",253,"5,23%","9,60%",86.509.50000,5.465.130.00000,89,"9,94%"
117,SOND5,5500,2185.0,244.0,2066.0,"1,66%",1720,410.0,2203,588.0,1727,1349,"9,38%","9,46%",349,"12,69%","11,17%",2.20767,55.393.00000,0,"-12,02%"
118,DIRR3,1441,2253.0,170.0,1541.0,"3,47%",458,121.0,990,-218.0,1029,886,"15,57%","8,29%",424,"5,71%","7,55%",21.548.20000,1.299.540.00000,71,"2,17%"
119,EVEN3,1309,2517.0,162.0,1714.0,"1,11%",576,112.0,1880,327.0,2092,2012,"9,12%","8,51%",302,"3,73%","6,45%",40.571.10000,1.709.090.00000,66,"-3,88%"
120,CYRE3,2365,2706.0,195.0,2507.0,"5,49%",867,279.0,2239,3495.0,2551,2382,"11,20%","12,51%",236,"4,61%","7,19%",194.407.00000,4.857.670.00000,60,"3,25%"
121,EZTC3,3922,2830.0,228.0,9903.0,"0,75%",2020,495.0,4373,525.0,3737,3521,"22,64%","36,33%",615,"6,63%","8,05%",121.322.00000,3.907.800.00000,0,"6,16%"
122,MTRE3,1480,10925.0,161.0,5291.0,"0,00%",1273,176.0,6227,197.0,3181,2962,"8,50%","4,86%",641,"6,46%","1,48%",11.166.40000,970.757.00000,7,"0,00%"
123,STBP3,537,-79435.0,271.0,3871.0,"0,33%",1105,1303.0,9495,-258.0,9717,2047,"4,08%","-0,49%",206,"1,33%","-0,34%",16.280.30000,1.324.970.00000,33,"3,60%"
124,ECOR3,1302,-3687.0,1182.0,1830.0,"0,00%",635,-1095.0,582,-81.0,1135,775,"31,45%","-4,96%",73,"12,70%","-32,06%",65.406.70000,615.303.00000,1372,"8,00%"
125,LOGN3,1847,-1463.0,959.0,1856.0,"0,00%",978,324.0,2234,-226.0,3119,1305,"8,31%","-12,69%",285,"7,14%","-65,56%",16.378.70000,203.158.00000,704,"4,62%"
126,TPIS3,126,-413.0,32.0,218.0,"0,00%",61,-28.0,-3693,-8.0,-33516,514,"-0,59%","-7,43%",24,"-0,17%","-7,64%",1.007.36000,701.690.00000,271,"-15,27%"
127,GOLL4,1755,-150.0,-48.0,567.0,"0,00%",423,-74.0,831,-27.0,2041,573,"6,82%","-36,24%",32,"6,59%","32,11%",196.580.00000,-13.002.600.00000,-84,"4,39%"
128,AZUL4,2159,-61.0,-58.0,779.0,"0,00%",487,-118.0,-270,-30.0,-913,2212,"-28,84%","-128,36%",36,"-25,02%","96,28%",294.766.00000,-12.648.200.00000,-152,"6,12%"
129,TGMA3,2493,1099.0,279.0,1458.0,"4,58%",1576,682.0,1242,2937.0,1270,1068,"11,74%","13,27%",190,"17,90%","25,38%",16.279.10000,590.088.00000,55,"5,83%"
130,LUXM4,4598,1662.0,221.0,2073.0,"13,21%",1318,750.0,1466,-1820.0,1557,768,"14,14%","12,47%",212,"9,88%","13,33%",106.39500,107.865.00000,27,"8,87%"
131,JSLG3,3210,2782.0,475.0,692.0,"0,76%",295,92.0,777,-77.0,1816,817,"8,90%","2,67%",269,"6,76%","17,09%",31.496.10000,1.402.480.00000,1225,"11,09%"
132,CCRO3,1330,3052.0,326.0,2605.0,"5,73%",769,3263.0,969,-146.0,1492,842,"26,88%","7,91%",111,"9,82%","10,69%",99.057.40000,8.233.370.00000,252,"2,03%"
133,WSON33,3944,4846.0,123.0,1724.0,"2,90%",522,903.0,439,-127.0,750,750,"39,30%","3,85%",155,"13,78%","2,53%",1.055.46000,2.290.150.00000,109,"0,08%"
134,RLOG3,2111,5066.0,405.0,1402.0,"0,00%",233,393.0,481,-38.0,1091,591,"29,14%","9,99%",152,"5,67%","7,99%",22.823.50000,2.416.520.00000,740,"9,27%"
135,RAIL3,2230,5914.0,487.0,5925.0,"0,00%",986,1662.0,2068,-160.0,2689,1445,"28,65%","10,07%",152,"5,57%","8,23%",202.161.00000,8.490.350.00000,211,"13,59%"
136,CAML3,1245,-34617.0,178.0,1939.0,"1,35%",629,235.0,3036,1196.0,3883,3883,"6,39%","-0,56%",162,"3,53%","-0,51%",16.450.50000,2.587.190.00000,121,"-19,60%"
137,BSEV3,404,-266.0,-407.0,631.0,"0,00%",307,-64.0,1362,-46.0,3375,464,"4,63%","-23,73%",46,"2,65%","153,14%",512.77700,-1.012.830.00000,-723,"-0,01%"
138,MNPR3,556,-213.0,-11.0,164.0,"0,00%",181,-10.0,80,-8.0,79,71,"20,43%","-7,69%",17,"23,63%","4,94%",120.87000,-375.728.00000,0,"3,46%"
